Año,Provincia,URE N°,Trimestre,ID PLAN,ID POA,Fecha de monitoreo en campo,Estado,Alcanzado por SAT?,Tecnico/s que fueron al campo,IF,Observaciones relevantes para una devolución al ALA,Cargado IF en SIIF,Subido IF a carpeta compartida Bosques,Otro espacio de guardado
2025,Tierra del Fuego,8,2,PM-FORESTO-INDUSTRIAL- POA1,,2025-04-07,Finalizado,SI,Ricardo Vukasovic,IF-2025-57988817-APN-DBN%JGM,Ajustar a Resol 427/2020_ Informar sobre modificaciones al destino de fondos,NO,SI,
2025,Jujuy,1,2,PM-0256-273-A/2013,,2025-04-09,Finalizado,NO,Pláate Gerardo - Campos Christian,IF-2025-39425648-APN-DBN%JGM,,SI,SI,
2025,Tierra del Fuego,8,2,PC-RUTAS DEL SUR,,2025-04-09,Informe en elaboración,NO,Ricardo Vukasovic,IF-2025-79066481-APN-DBN%JGM,,NO,SI,
2025,Jujuy,1,2,PM-256-370/2015,,2025-04-15,Finalizado,SI,Federico Mohr,IF-2025-61384472-APN-DBN%JGM,,NO,SI,
2025,Jujuy,1,2,PM-0256-319-B/2015,,2025-04-16,Finalizado,NO,Federico Mohr,IF-2025-61384227-APN-DBN%JGM,,NO,SI,
2025,Tucumán,1,2,TUC_PC2017-04_MAY25,,2025-05-09,Finalizado,NO,Silvia Pacheco,IF-2025-67899911-APN-DBN#JGM,,SI,SI,
2025,Tucumán,1,2,TUC_PC2016-5_MAY25,,2025-05-09,Finalizado,NO,Silvia Pacheco,IF-2025-67902167-APN-DBN#JGM,,SI,SI,
2025,Misiones,4,2,13-PF-PM-228-20201- POA1-228-2021,,2025-05-15,Finalizado,NO,Lucas Giraudo,IF-2025-71110463-APN-DBN%JGM,Se observan oportunidades de mejorar el uso de los fondos de la ley si se reducen los tiempos en desembolsarlos al titular para ejecutar las actividades planificadas una vez presentado el PMS.,NO,SI,
2025,Tierra del Fuego,8,2,PI-EA ROLITO,,2025-05-17,Informe en elaboración,NO,Ricardo Vukasovic,IF-2025-77104610-APN-DBN%JGM,,NO,SI,
2025,Tucumán,1,2,TUC_PC2017-05_MAY25,,2025-05-30,Finalizado,NO,Silvia Pacheco,IF-2025-67903272-APN-DBN#JGM,,SI,SI,
2025,Santiago del Estero,2,2,703-20-2017,,2025-06-26,Finalizado,SI,Walter Cassino- Abel Gómez,IF-2025-77033171-APN-DBN#JGM,,NO,SI,
2025,Santiago del Estero,2,2,EX-2021-01391974- -GDESDE-DB#MPR,,2025-06-27,Finalizado,SI,Walter Cassino- Abel Gómez,IF-2025-77032826-APN-DBN#JGM,,NO,SI,
